	1	2	3	4	5	6	7	8	9	10	11	12
cell1	0.026025288	0.034648795	0.44505635	0.122511774	0.03065466	0.12979455	0.0	0.0	0.0	0.08029084	0.03520066	0.101499945
cell2	0.054860003	0.007912783	0.62290096	0.024538811	0.0	0.050544735	0.0	0.010496858	0.039848443	0.0	0.09180453	0.09278048
cell3	0.055111527	0.08296434	0.49586186	0.0506619	0.048601594	0.043874025	0.02867618	0.052989338	0.009636995	0.048646413	0.04784789	0.026878756
cell4	0.0498634	0.053011343	0.52884233	0.045450967	0.0	0.036596224	0.03173061	0.038025886	0.09800868	0.016301809	0.03594579	0.057212487
cell5	0.014055556	0.10669957	0.510241	0.0007704933	0.062359497	0.09951857	0.049711645	0.006816695	0.0	0.066397205	0.03451367	0.026993174
cell6	0.063819386	0.062566124	0.5544323	0.0047059827	0.040068075	0.051799737	0.04417105	0.06717019	0.05154551	0.030481681	0.02934301	0.012170706
cell7	0.050199293	0.04663714	0.46308187	0.09905939	0.065430775	0.0643117	0.049869515	0.024664553	0.0	0.068871364	0.042565078	0.008370098
cell8	0.04311925	0.05840424	0.5415351	0.013232897	0.08412811	0.04592076	0.071244754	0.026736144	0.05303214	0.0021470508	0.029354427	0.030395327
cell9	0.068694346	0.08474903	0.47643086	0.05560947	0.029021954	0.07495309	0.024301501	0.025648896	0.057108667	0.032555815	0.064055294	0.0034026424
cell10	0.026387328	0.018633366	0.57769555	0.0593149	0.047576077	0.10066417	0.0	0.024812564	0.0036931022	0.04608787	0.0	0.09590878
cell11	0.0041792016	0.07138502	0.60229826	0.085149266	0.0080536455	0.056808934	0.027595444	0.0	0.057129744	0.061136037	0.030395204	0.009493196
cell12	0.066003844	0.06057484	0.5011421	0.08582195	0.06994111	0.053098526	0.042608492	0.075324684	0.0070501175	0.024737898	0.01899204	0.0
cell13	0.03785166	0.045041148	0.5814067	0.06901725	0.013744579	0.04856554	0.05694149	0.03376266	0.04851043	0.04506406	0.0	0.023598768
cell14	0.0269971	0.039227583	0.69331396	0.038710818	0.10047926	0.0	0.041217934	0.0	0.0	0.0	0.028277291	0.0662735
cell15	0.04746002	0.10043797	0.45090362	0.1119047	0.051090065	0.04439225	0.03640152	0.0242501	0.021509701	0.036058187	0.01950673	0.050663006
cell16	0.0090664	0.041902497	0.7098149	0.05205527	0.0	0.048067372	0.0	0.0	0.0	0.1470351	0.0	0.0
cell17	0.05121103	0.06125318	0.47087002	0.071836464	0.048284188	0.065225884	0.043151334	0.0	0.03379275	0.064605765	0.028118543	0.05115181
cell18	0.08373034	0.0026463163	0.36308172	0.046958342	0.078511685	0.049110286	0.044559363	0.024561409	0.0	0.15146644	0.012672556	0.15594697
cell19	0.025610877	0.057544805	0.45028022	0.06458718	0.07278144	0.052215107	0.0023338976	0.061646268	0.011907331	0.11782435	0.019802848	0.038164157
cell20	0.050252326	0.13325281	0.43339765	0.07943843	0.0559342	0.07660069	0.03786315	0.0300687	0.061979942	0.008865938	0.00980023	0.046907075
cell21	0.023793861	0.05495034	0.5089257	0.077962555	0.023604892	0.040605117	0.034944113	0.044709265	0.09118302	0.0	0.03309559	0.0651944
cell22	0.020165833	0.005224773	0.5424979	0.0054335194	0.077834524	0.117518954	0.025069445	0.0023993528	0.0	0.009606278	0.046235107	0.11488626
cell23	0.065592304	0.04293252	0.5393298	0.05962358	0.047032606	0.08329259	0.017675266	0.0	0.055322513	0.040086493	0.0191245	0.031439964
cell24	0.055411797	0.037662104	0.45587888	0.050506346	0.03324532	0.06671913	0.0362656	0.03122168	0.03641826	0.02555247	0.07551652	0.08283868
cell25	0.045521475	0.104628906	0.52478063	0.0747097	0.029551754	0.034257565	0.032255154	0.0	0.0	0.053214386	0.065964885	0.029590132
cell26	0.20309423	0.09015501	0.43887502	0.013837143	0.0	0.0	0.0	0.0	0.0	0.20443946	0.0	0.07514748
cell27	0.057069167	0.058004722	0.58160156	0.049967416	0.0	0.03567911	0.00092458865	0.054167792	0.02579	0.0922644	0.038718253	0.014434218
cell28	0.016815517	0.008238727	0.68203545	0.0	0.060471863	0.036648575	0.0	0.0	0.0	0.1239392	0.0	0.081470825
cell29	0.03961187	0.07526301	0.56295	0.03192298	0.026198445	0.07825207	0.046620212	0.052705392	0.026994767	0.025291877	0.029193485	0.0
cell30	0.06789015	0.07141871	0.56225425	0.04921006	0.022174874	0.034162007	0.0	0.02713247	0.019031033	0.0908731	0.0	0.03294253
cell31	0.02278347	0.08518599	0.55130535	0.057699345	0.044245005	0.053447917	0.06680897	0.07469096	0.0012660329	0.0	0.024363982	0.03266915
cell32	0.05452677	0.07486383	0.5188401	0.031069273	0.06425904	0.0721347	0.0	0.029772237	0.0	0.071208365	0.036994774	0.044363476
cell33	0.0743428	0.050743964	0.48930895	0.051453885	0.041722037	0.086995326	0.01175	0.026406381	0.045716412	0.031729307	0.06582586	0.008150526
cell34	0.0	0.0	0.41831923	0.010614282	0.0	0.07253287	0.016888192	0.005368374	0.12499433	0.00097268465	0.11834363	0.22632894
cell35	0.0	0.0	0.53315026	0.083013855	0.059672043	0.0037539124	0.003963733	0.0	0.031371128	0.052501034	0.012730409	0.21133003
cell36	0.07413383	0.11867553	0.56622523	0.021270517	0.013296521	0.0007909407	0.0671972	0.067400634	0.018420033	0.0	0.03363359	0.018914705
cell37	0.004264735	0.11966609	0.56483614	0.050892998	0.036238555	0.01907861	0.029219652	0.076537184	0.0	0.05488394	0.041966185	0.0
cell38	0.023159364	0.055177204	0.38713172	0.06593058	0.041980542	0.043139726	0.06979767	0.026547834	0.07584778	0.022452371	0.1011588	0.070413366
cell39	0.018517926	0.07845646	0.51364833	0.06741289	0.14240976	0.08467459	0.060682356	0.0	0.0	0.032453552	0.016333817	0.0074707707
cell40	0.0028258343	0.03707341	0.5714002	0.030340852	0.07458127	0.015611148	0.09324255	0.03611793	0.009626495	0.03230941	0.007897142	0.096451625
cell41	0.007421747	0.060686316	0.49548048	0.13732132	0.035761777	0.070775315	0.024220968	0.0022395723	0.054657217	0.097610615	0.032269027	0.0
cell42	0.059838783	0.0	0.6568315	0.0	0.0	0.0	0.0050458666	0.032498583	0.16437921	0.008830546	0.04697755	0.030609496
cell43	0.027780969	0.0030672643	0.54934394	0.08458013	0.0	0.06695218	0.0	0.01739806	0.04486085	0.15361618	0.01583125	0.044474043
cell44	0.047679704	0.059683025	0.5438615	0.031658016	0.034584668	0.0645647	0.027163161	0.035533387	0.06763214	0.045276713	0.0030586754	0.030798627
cell45	0.08923042	0.12170121	0.44088107	0.08822763	0.04776952	0.05998116	0.061248142	0.011284584	0.040347937	0.001981739	0.014495149	0.006935749
cell46	0.046137813	0.087792486	0.489164	0.07074282	0.07157902	0.030426227	0.036092456	0.043355923	0.04151663	0.03493008	0.013487481	0.043385465
cell47	0.047394328	0.073035985	0.5839432	0.063279234	0.00034325814	0.009964233	0.079677634	0.05403637	0.042277392	0.012844914	0.0	0.028949019
cell48	0.07803721	0.04354332	0.46874598	0.0804012	0.05100796	0.06475192	0.043803684	0.08099414	0.0	0.0673885	0.0043004174	0.0068057133
cell49	0.06446139	0.031766377	0.5394	0.025954753	0.05257921	0.033026867	0.034441225	0.025190255	0.0	0.029706204	0.040411327	0.10523471
cell50	0.037396632	0.104820296	0.5053475	0.07573314	0.07916813	0.13265891	0.050844386	0.0042660977	0.0	0.0	0.0034544945	0.0
cell51	0.06440604	0.14780979	0.5256044	0.020124577	0.056605134	0.08266577	0.014105984	0.029190898	0.0	0.04088201	0.016110547	0.0041101663
cell52	0.06691089	0.08546987	0.48820144	0.04851198	0.06395934	0.07278945	0.04477177	0.052537758	0.0	0.04161726	0.005488218	0.024870932
cell53	0.069056556	0.06326415	0.46492353	0.050318416	0.039006267	0.078699335	0.08149391	0.055374872	0.021783935	0.024973877	0.0003797332	0.038170107
cell54	0.042966813	0.05585925	0.4624558	0.07712165	0.07620685	0.07623793	0.07882875	0.06781525	0.004320813	0.0	0.009264117	0.048190873
cell55	0.1013411	0.058587633	0.6047749	0.0058905045	0.0	0.03739543	0.048843525	0.0	0.07402525	0.0	0.0	0.0709439
cell56	0.020408837	0.03933419	0.62925816	0.05213756	0.055005908	0.0	0.0	0.0	0.0	0.12507063	0.106344625	0.0
cell57	0.017550547	0.09105314	0.60566956	0.02193801	0.04422194	0.021935355	0.069135636	0.006571823	0.0045155543	0.049017612	0.0334415	0.03699545
cell58	0.05307655	0.04917168	0.54612654	0.05370501	0.05752447	0.059837677	0.0	0.0014722793	0.046132296	0.0948071	0.03295285	0.0041134097
cell59	0.049984515	0.01302559	0.6017339	0.040460557	0.035226278	0.05283964	0.05234524	0.026207196	0.0075961566	0.0198089	0.007141281	0.084127866
cell60	0.0885361	0.066025116	0.49231043	0.020810947	0.0	0.09222083	0.039867137	0.02566703	0.030373925	0.03576756	0.026812088	0.087620914
cell61	0.04844326	0.042635825	0.5248302	0.1303669	0.09098133	0.06323495	0.0035553055	0.0	0.0	0.12217861	0.0	0.0
cell62	0.05312022	0.10043429	0.38955942	0.0794278	0.050760653	0.07722531	0.05747511	0.07663297	0.048517868	0.00041207357	0.012327526	0.03550217
cell63	0.06284667	0.037593886	0.48037732	0.06676144	0.0074392958	0.069113076	0.079638965	0.030073166	0.089443974	0.017877083	0.017318495	0.03661479
cell64	0.07984302	0.009528402	0.5433677	0.06107222	0.0	0.021911101	0.05518961	0.043765083	0.10020583	0.0062059904	0.0052178917	0.073431164
